ticker,company_name,our_sector,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
HINDZINC.NS,HINDUSTAN ZINC LIMITED,METALS,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc,ok
HOMEFIRST.NS,HOME FIRST FINANCE COMPANY INDIA,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Housing Finance Company,ok
HONASA.NS,HONASA CONSUMER LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
HONAUT.NS,HONEYWELL AUTOMATION INDIA LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,ok
HSCL.NS,HIMADRI SPECIALITY CHEMICAL LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,ok
HUDCO.NS,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Financial Institution,ok
ICICIBANK.NS,ICICI BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
ICICIGI.NS,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Insurance,General Insurance,ok
ICICIPRULI.NS,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Insurance,Life Insurance,ok
IDBI.NS,IDBI BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
IDEA.NS,VODAFONE IDEA LTD,TELECOM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,ok
IDFC.NS,IDFC LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Holding Company,ok
IDFCFIRSTB.NS,IDFC FIRST BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
IEX.NS,INDIAN ENERGY EXCHANGE LIMITED,ENERGY,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,ok
IFBIND.NS,IFB INDUSTRIES LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
IFCI.NS,IFCI LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Financial Institution,ok
IGARASHI.NS,IGARASHI MOTORS INDIA LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
IGL.NS,INDRAPRASTHA GAS LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
IIFL.NS,IIFL FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
INDGN.NS,INDEGENE LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology",ok
INDHOTEL.NS,THE INDIAN HOTELS COMPANY LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
INDIACEM.NS,THE INDIA CEMENTS LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
INDIAMART.NS,INDIAMART INTERMESH LIMITED,IT,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail,ok
INDIANB.NS,INDIAN BANK,BANKING,Financial Services,Financial Services,Banks,Public Sector Bank,ok
INDIGO.NS,INTERGLOBE AVIATION LIMITED,AVIATION,Services,Services,Transport Services,Airline,ok
INDOCO.NS,INDO COUNT INDUSTRIES LIMITED,TEXTILES,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
INDOSTAR.NS,INDOSTAR CAPITAL FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
INDRAMEDCO.NS,INDRAPRASTHA MEDICAL CORPORATION LTD,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
